Edge TPU Compiler version 15.0.340273435
Input: convert_model/yolov4-tiny-260-relu-int8_size608x608.tflite
Output: convert_model/yolov4-tiny-260-relu-int8_size608x608_edgetpu.tflite

Operator                       Count      Status

DEQUANTIZE                     6          Operation is working on an unsupported data type
MAX_POOL_2D                    3          Mapped to Edge TPU
CONCATENATION                  9          Mapped to Edge TPU
SUB                            6          Mapped to Edge TPU
LOGISTIC                       2          Mapped to Edge TPU
QUANTIZE                       28         Mapped to Edge TPU
QUANTIZE                       6          Operation is otherwise supported, but not mapped due to some unspecified limitation
SPLIT_V                        12         Operation not supported
RESIZE_BILINEAR                1          Operation version not supported
ADD                            6          Mapped to Edge TPU
SPLIT                          7          Mapped to Edge TPU
EXP                            6          Operation is working on an unsupported data type
PAD                            2          Mapped to Edge TPU
MUL                            18         Mapped to Edge TPU
CONV_2D                        21         Mapped to Edge TPU
